㙖	[土丿虫冂,jplm,]
㙗	[土田{畏下},jkfu,kuài_wēi]
㙘	[土西女,jecv,yāo]
㙙	[氵尤彡土,zjsj,lǒng]
㙚	[土䒑土牛,jxjp,xīng]
㙛	[土甫寸,jeic,bǔ]
㙜	[亠口口土,yooj,chí_tái]
㙝	[土力力月,jccs,xié]
㙞	[土自木,jtiv,niè]
㙟	[土丶厶月,jwas,lǎng]
㙠	[匚矢土,fpjf,yì_yī]
㙡	[土彳人龰,jsul,zōng]
㙢	[土艹入入,jhvv,mán_mén]
㙣	[土弓長,jdez,zhàng]
㙤	[土虍丷{于下},jlxi,xià]
㙥	[土衣八口,jwta,gǔn_gùn]
㙦	[人一十土,ugej,xié]
㙧	[土丌コ田,jhdk,]
㙨	[土幺戈人,jafu,jì_qí]
㙩	[土大日小,jfkc,liáo]
㙪	[土士口䒑,jjox,yè_yì]
㙫	[土隹木,jtiv,jí]
㙬	[木人犬土,iujj,yín]
㙭	[土厂屮欠,jgaq,]
㙮	[土⺮一口,jpgo,dā_da]
㙯	[土八二厶,jtea,yì]
㙰	[⺈用牛土,qspj,xiè]
㙱	[口丂几土,ojqj,hào]
㙲	[土亠丿隹,jypt,yǒng]
㙳	[土戊口心,jfor,hǎn_hé_kǎn]
㙴	[土⺈八言,jqty,chàn_zhàn]
㙵	[土亠口土,jyoj,tái]
㙶	[亠口口土,yooj,táng]
㙷	[土日幺灬,jkas,zhí_zhé]
㙸	[土亻䒑{养上},jtxx,bào_bó_pú]
㙹	[土艹冖夕,jhqq,méng]
㙺	[土匚丄貝,jfon,guì_kuí]
㙻	[土广八土,jwtj,chán_qiè_zàn]
㙼	[土田田田,jkkk,lěi]
㙽	[土大丆日,jfgk,]
㙾	[土𦥑冖子,juqb,xì_xué]
㙿	[土䒑丂戈,jxjf,]
㚀	[土虍䒑戈,jlxf,xī]
㚁	[土土土兀,jjjg,qiáo_qiào_qù]
㚂	[土十{冓上}𧘇,jehr,ráng_nàng]
㚃	[士冖凵䒑,jqax,yún_yùn_yūn]
㚄	[士冖乛龰,jqbl,]
㚅	[夂一生,vgps,lóng]
㚆	[亠日夂,ykvu,fù]
㚇	[乂凵夂,tavi,zōng]
㚈	[夕十,qeux,]
㚉	[乃夕夕,aqqn,gǔ]
㚊	[夕夕亥,qqyx,kāi]
㚋	[夕夕口,qqox,diāo]
㚌	[夕夕木,qqix,huà_huǒ]
㚍	[夕夕貝,qqnx,guó_kuǐ_kuì]
